title,summary,donor,geographic_location,deadline,view_grant,application_link,grant_page_url,source_listing_url
Counter Histories Grant: Reframing Puerto Rico Through Photography,"Deadline: 01-Apr-2026 The Counter Histories Fellowship supports photographers and artists engaging with Puerto Rico and its diaspora to reframe history and address urgent contemporary issues. Fellows receive a $10,000 project development grant, participate in virtual programming, and attend an in-person symposium, fostering professional development, collaboration, and the creation of visual archives. About the Fellowship Counter",Magnum Foundation,All skill levels welcome:,01-Apr-2026,view grant link,https://www.magnumfoundation.org/news/counter-histories-puerto-rico-2026-open-call,https://www2.fundsforngos.org/grant/counter-histories-grant-reframing-puerto-rico-through-photography/,https://www2.fundsforngos.org/tag/lebanon/
Call for Proposals: Direct Action Crisis Funding (US),"Deadline: 23-Mar-2026 The American Psychological Foundation (APF) Direct Action Crisis Funding provides urgent support to doctoral students and early-career psychologists who have lost research funding. Grants cover essential project activities like completing data collection, analyzing existing data, writing outputs, closing projects responsibly with community partners, or preparing new proposals. The program prioritizes research that serves",American Psychological Foundation,Why It Matters,23-Mar-2026,view grant link,https://ampsychfdn.org/funding/dacf/,https://www2.fundsforngos.org/health/call-for-proposals-direct-action-crisis-funding-us/,https://www2.fundsforngos.org/tag/lebanon/
Open Call: Design by Biomedical Undergraduate Teams (DEBUT) Challenge – US,"Deadline: 05-Jun-2026 The DEBUT Challenge invites undergraduate student teams to develop innovative biomedical solutions addressing unmet health and clinical needs. Sponsored by the National Institute of Biomedical Imaging and Bioengineering (NIBIB) and VentureWell, this competition emphasizes design innovation, teamwork, technical communication, and market potential. Winning teams receive monetary awards, commercialization training, and recognition at the",VentureWell,,05-Jun-2026,view grant link,https://venturewell.org/debut/,https://www2.fundsforngos.org/health/open-call-design-by-biomedical-undergraduate-teams-debut-challenge-us/,https://www2.fundsforngos.org/tag/lebanon/
Open Call for AstraZeneca Young Health Programme Impact Fellowship,"Deadline: 12-Apr-2026 The Young Health Programme Fellowship supports young leaders aged 18–30 who are driving positive change in health equity, climate impact on well-being, and health systems resilience. Fellows receive grants of USD 10,000–50,000 to implement six- to twelve-month projects and attend the One Young World Summit in Cape Town. The program targets youth in",One Young World,for the fellowship?,12-Apr-2026,view grant link,https://www.oneyoungworld.com/scholarship/astrazeneca-young-health-programme-impact-fellowship,https://www2.fundsforngos.org/health/open-call-for-astrazeneca-young-health-programme-impact-fellowship/,https://www2.fundsforngos.org/tag/lebanon/
Call for Applications: Deloitte Photo Grant Program,"Deadline: 14-Jun-2026 The Deloitte Photo Grant Program 2026 invites photographers under the age of 35 to submit an original photography project idea based on the theme “Proximities.” The winner will receive €25,000 to develop the project, plus exhibition opportunities, international visibility, and covered travel and accommodation in Milan. What is the Deloitte Photo Grant Program",Deloitte,photographers under the age of 35,14-Jun-2026,view grant link,https://deloittephotogrant.com/contests/open-call-2026/,https://www2.fundsforngos.org/individuals/call-for-applications-deloitte-photo-grant-program/,https://www2.fundsforngos.org/tag/lebanon/
Call for Solutions 2026: Empowering Young Climate Innovators,"Deadline: 30-Apr-2026 The Youth4Climate Call for Solutions 2026 is a global funding opportunity for young people aged 18–29 and youth-led organizations working on innovative climate action projects. Eligible applicants can apply for up to USD 30,000 in seed funding, and selected projects must be completed within 24 months. What is the Youth4Climate Call for Solutions",Youth4Climate,both,30-Apr-2026,view grant link,https://community.youth4climate.info/dashboard/call-solutions-2026-0,https://www2.fundsforngos.org/individuals/call-for-solutions-2026-empowering-young-climate-innovators/,https://www2.fundsforngos.org/tag/lebanon/
NYU Stern Climate Economics Journalism Fellowship Program,"Deadline: 20-Apr-2026 The NYU Stern School of Business is accepting applications for the Climate Economics Journalism Fellowship 2026, a fully funded two-day in-person program for journalists worldwide. Held on September 17–18, 2026 in New York City, the fellowship explores the links between climate change, financial markets, and the global economy, with travel stipends of $2,000",NYU Stern,journalists worldwide,20-Apr-2026,view grant link,https://www.stern.nyu.edu/experience-stern/about/departments-centers-initiatives/climate-finance/climate-economics-journalism-fellowship-0,https://www2.fundsforngos.org/individuals/nyu-stern-climate-economics-journalism-fellowship-program/,https://www2.fundsforngos.org/tag/lebanon/
Parkinson’s Research Grant: Supporting Preclinical and Clinical Research,"Deadline: 13-Apr-2026 The Quarterly Research Grant Funding Programme is inviting applications for preclinical and clinical research aimed at slowing, stopping, or reversing Parkinson’s disease progression. The programme supports international applications from academic institutions and commercial organisations, offering up to £250,000 for preclinical research, while clinical trial funding is flexible. About the Opportunity The Quarterly Research",Cure Parkinson’s,,13-Apr-2026,view grant link,https://cureparkinsons.org.uk/research/for-researchers/apply-for-funding/quarterly-research-grant/,https://www2.fundsforngos.org/individuals/parkinsons-research-grant-supporting-preclinical-and-clinical-research/,https://www2.fundsforngos.org/tag/lebanon/
Apply for AI Innovation Challenge to Transform Water Systems,"Deadline: 03-Apr-2026 The Water Council is inviting applications for AI-native technologies that enhance water system management, treatment, and sustainability. Submissions should integrate artificial intelligence at their core to improve prediction, automation, optimization, and decision-making, supporting a cognitive water ecosystem across utilities and industrial applications. Overview This challenge focuses on transforming water systems from reactive, fragmented",The Water Council,,03-Apr-2026,view grant link,https://thewatercouncil.com/open-innovation-programs/,https://www2.fundsforngos.org/information-technology/apply-for-ai-innovation-challenge-to-transform-water-systems/,https://www2.fundsforngos.org/tag/lebanon/
ICT Innovation Programme for Youth Entrepreneurs 2026 (Zambia),"Deadline: 20-Apr-2026 The ZICTA ICT Innovation Programme 2026 supports Zambian youth aged 18–35 in developing and scaling ICT-driven solutions. It offers training, mentorship, and commercialization support to transform innovative ideas into viable businesses. The programme focuses on scalable tech solutions addressing socio-economic challenges. What is the ZICTA ICT Innovation Programme 2026? The ZICTA ICT Innovation",ZICTA,Validate that your idea is ICT-based,20-Apr-2026,view grant link,https://www.zicta.zm/ict-innovation/about,https://www2.fundsforngos.org/information-technology/ict-innovation-programme-for-youth-entrepreneurs-2026-zambia/,https://www2.fundsforngos.org/tag/lebanon/
Open Call for Bellagio Center Residency Program,"Deadline: 20-Mar-2026 The Rockefeller Foundation Bellagio Center Residency Program is accepting applications from leaders, scholars, artists, and practitioners worldwide to advance high-impact projects during a 26-day residency in Lake Como, Italy. Selected residents receive room, board, a private studio, travel support, and access to a global network, with projects expected to align with key themes",The Rockefeller Foundation,leaders from around the world,20-Mar-2026,view grant link,https://www.rockefellerfoundation.org/fellowships-convenings/bellagio-center/residency-program/,https://www2.fundsforngos.org/innovation/open-call-for-bellagio-center-residency-program/,https://www2.fundsforngos.org/tag/lebanon/
YIELD Hub 2026: Advancing Youth Leadership in Health and Rights,"Deadline: 03-Apr-2026 The YIELD Hub 2026 Action Learning Cycles bring together youth-led organizations, funders, researchers, INGOs, and partners to strengthen youth leadership and advance sexual and reproductive health and rights (SRHR). Participants collaborate on defending SRHR progress, sustainable financing, climate-responsive approaches, and meaningful youth partnership, applying lessons to their institutions and sharing insights with the",YIELD Hub,,03-Apr-2026,view grant link,https://yieldhub.global/alc2026/,https://www2.fundsforngos.org/leadership/yield-hub-2026-advancing-youth-leadership-in-health-and-rights/,https://www2.fundsforngos.org/tag/lebanon/
Entries open for the International Pride Awards,"Deadline: 17-Apr-2026 The International Pride Awards are global recognition awards celebrating individuals and organizations advancing LGBTIQ+ equality, inclusion, and human rights. These awards highlight advocacy, policy influence, community support initiatives, and social change efforts. Core Purpose of the Awards 1. Recognize Impactful Contributions Honor individuals and groups creating real change in LGBTIQ+ communities. 2. Promote",International Pride Awards,both individuals and organizations.,17-Apr-2026,view grant link,https://internationalprideawards.org/en/about/,https://www2.fundsforngos.org/lgbtq/entries-open-for-the-international-pride-awards/,https://www2.fundsforngos.org/tag/lebanon/
Nominations open for 2026 Champions of the Earth Award,"Deadline: 15-Apr-2026 The United Nations Development Programme (UNDP) is accepting nominations for the 2026 Champions of the Earth Award, the UN’s highest environmental honor. The award recognizes leaders and organizations implementing impactful solutions to protect and restore the world’s oceans, focusing on pollution prevention, ecosystem restoration, sustainable blue economies, and science-driven cooperation. Overview of the",UNEP,"individuals, governments, and organizations",15-Apr-2026,view grant link,https://www.unep.org/news-and-stories/press-release/ocean-health-focus-nominations-open-uneps-2026-champions-earth-award,https://www2.fundsforngos.org/livelihood/nominations-open-for-2026-champions-of-the-earth-award/,https://www2.fundsforngos.org/tag/lebanon/
Capture the Future: Global Youth Storytelling Initiative for People and Nature,"Deadline: 31-May-2026 UNESCO and vivo have launched the Capture the Future initiative, inviting young people aged 18–35 to share visual stories about human-nature relationships in UNESCO biosphere reserves. Participants can submit photography or short videos that document local actions, traditions, and innovations supporting sustainability and coexistence between people and nature. About the Initiative The initiative",UNESCO,Applicants must have a strong connection to a,31-May-2026,view grant link,https://www.unesco.org/en/articles/unesco-and-vivo-launch-global-youth-visual-storytelling-initiative-capture-future?hub=66369,https://www2.fundsforngos.org/media/capture-the-future-global-youth-storytelling-initiative-for-people-and-nature/,https://www2.fundsforngos.org/tag/lebanon/
Eighth Global Environment Facility Assembly Fellowship Program,"Deadline: 31-Mar-2026 The Earth Journalism Network (EJN) is offering fellowships for five journalists from low- and middle-income countries to cover the Eighth Global Environment Facility (GEF) Assembly in Samarkand, Uzbekistan. Fellows will gain access to high-level discussions on climate finance, adaptation strategies, and environmental partnerships, receive mentorship from senior journalists, and get financial support to",Earth Journalism Network,,31-Mar-2026,view grant link,https://earthjournalism.net/opportunities/fellowships-to-cover-the-eighth-global-environment-facility-gef-assembly-in-samarkand,https://www2.fundsforngos.org/media/eighth-global-environment-facility-assembly-fellowship-program/,https://www2.fundsforngos.org/tag/lebanon/
The Houssian Foundation Daylight Fund (Canada),"Deadline: 14-Apr-2026 The Daylight Fund 2026 provides operating grants of $10,000 to $25,000 to organizations in Canada working to improve safety for women and gender-diverse people. The fund prioritizes initiatives addressing gender-based violence, discrimination, and access to safe housing and support services, especially in underserved and rural communities. Grants will be awarded in summer 2026.",The Houssian Foundation,Canada,14-Apr-2026,view grant link,https://houssianfoundation.org/grants/the-daylight-fund/,https://www2.fundsforngos.org/narcotics-drugs-crime/the-houssian-foundation-daylight-fund-canada/,https://www2.fundsforngos.org/tag/lebanon/
Call for Applications: Connection Grant Program (Canada),"Deadline: 01-May-2026 The Connection Grant Program supports short-term initiatives that foster knowledge exchange and engagement in the social sciences and humanities. Grants fund events, outreach activities, and international collaborations designed to promote interdisciplinary dialogue, intersectoral partnerships, and public engagement. Funding ranges from $10,000 to $50,000, and eligible applicants are affiliated with Canadian postsecondary institutions or",Government of Canada,for a Connection Grant?,01-May-2026,view grant link,https://sshrc-crsh.canada.ca/en/funding/opportunities/connection-grants/2026/competition.aspx,https://www2.fundsforngos.org/research/call-for-applications-connection-grant-program-canada/,https://www2.fundsforngos.org/tag/lebanon/
Call for Applications: TWAS-CSIR Postgraduate Fellowship Programme,"Deadline: 06-May-2026 The TWAS-CSIR Postgraduate Fellowship supports foreign scholars from developing countries to pursue PhD research in emerging science and technology areas in India. The program offers Sandwich and Full-Time Fellowships, providing up to four years of funding at CSIR research laboratories and institutes to strengthen scientific capacity and doctoral research opportunities. Overview The fellowship",TWAS,,06-May-2026,view grant link,https://twas.org/opportunity/twas-csir-postgraduate-fellowship-programme,https://www2.fundsforngos.org/research/call-for-applications-twas-csir-postgraduate-fellowship-programme/,https://www2.fundsforngos.org/tag/lebanon/
Call for Entries: Science and SciLifeLab Prize for Young Scientists,"Deadline: 15-Jul-2026 The SciLifeLab and Science Prize for Young Scientists honors exceptional doctoral research in life sciences, offering winners financial awards, global recognition, and publication opportunities. Each year, four category winners are selected, including a grand prize of USD 30,000, with category winners receiving USD 10,000 each. Winners also gain the chance to present their",Science and SciLifeLab Prize,"all,",15-Jul-2026,view grant link,https://scienceprize.scilifelab.se/,https://www2.fundsforngos.org/research/call-for-entries-science-and-scilifelab-prize-for-young-scientists/,https://www2.fundsforngos.org/tag/lebanon/
Call for Entries: Wellcome Early-Career Awards,"Deadline: 21-Jul-2026 The Wellcome Early-Career Awards provide funding for early-career researchers across any discipline to establish themselves as independent investigators. Grants cover salary and up to £400,000 for research costs, enabling awardees to develop research maturity, transferable skills, and independent research programmes over a period of up to five years. Program Overview The Wellcome Early-Career",Wellcome,is required,21-Jul-2026,view grant link,https://wellcome.org/research-funding/schemes/wellcome-early-career-awards,https://www2.fundsforngos.org/research/call-for-entries-wellcome-early-career-awards/,https://www2.fundsforngos.org/tag/lebanon/
Call for Nominations: Abdul Hameed Shoman Award for Arab Researchers,"Deadline: 31-Mar-2026 The Abdul Hameed Shoman Award supports and promotes high-impact scientific research in the Arab world, inspiring a new generation of Arab researchers. Winners receive $20,000 USD, a trophy, and a certificate, recognizing contributions across six major scientific fields with two topics announced annually per field. Overview The award aims to encourage high-quality research",Abdul Hameed Shoman Foundation,,31-Mar-2026,view grant link,https://shoman.org/en/ResearchersAward,https://www2.fundsforngos.org/research/call-for-nominations-abdul-hameed-shoman-award-for-arab-researchers/,https://www2.fundsforngos.org/tag/lebanon/
Call for Research Proposals: Global DPI Insights Community Fund,"Deadline: 30-Apr-2026 The Center for Financial Inclusion’s Global DPI Insights Community Fund provides research grants of up to USD $50,000 to support studies on the design, implementation, and sustainability of digital public infrastructure (DPI) systems. Grants focus on locally grounded evidence, consumer protection, market competition, and inclusive financial systems. Program Overview The Global DPI Insights",Center for Financial Inclusion,,30-Apr-2026,view grant link,https://www.centerforfinancialinclusion.org/research/2026-call-for-research-proposals/,https://www2.fundsforngos.org/research/call-for-research-proposals-global-dpi-insights-community-fund/,https://www2.fundsforngos.org/tag/lebanon/
Entries open for Falling Walls Lab Accra (Ghana),"Deadline: 04-May-2026 Falling Walls Lab Accra invites students and early-career professionals to present groundbreaking ideas that break barriers in science, technology, and society. The program emphasizes interdisciplinary innovation, social impact, and global knowledge exchange. Applicants must be at least 18 years old, meet academic criteria, submit individually in English, and participate in their closest Lab,",Falling Walls Foundation,to Falling Walls Lab Accra?,04-May-2026,view grant link,https://falling-walls.com/falling-walls-lab-accra-ghana-daad,https://www2.fundsforngos.org/research/entries-open-for-falling-walls-lab-accra-ghana/,https://www2.fundsforngos.org/tag/lebanon/
"Falling Walls Lab Competition: Break Barriers, Shape the Future (Finland)","Deadline: 21-May-2026 Falling Walls Lab is an international platform for students and early-career professionals to present groundbreaking ideas that break barriers in science and society. The program emphasizes innovation, interdisciplinary collaboration, and early-stage solutions across diverse fields. Applicants must meet academic or professional criteria, submit individually in English, and participate in their closest Lab, with",Falling Walls Foundation,to Falling Walls Lab?,21-May-2026,view grant link,https://falling-walls.com/falling-walls-lab-eastern-finland,https://www2.fundsforngos.org/research/falling-walls-lab-competition-break-barriers-shape-the-future-finland/,https://www2.fundsforngos.org/tag/lebanon/
Funding and Support for Negative Emissions Research Projects in Sweden,"Deadline: 31-Aug-2026 The Swedish Energy Agency Negative Emissions Grant 2026 under Industriklivet funds research and development projects focused on permanent negative emissions solutions. With a total budget of ~15 million SEK, the call supports projects involving carbon capture, transport, and geological storage of greenhouse gases. Eligible applicants include universities, research institutes, public sector bodies, and",Energimyndigheten,,31-Aug-2026,view grant link,https://www.energimyndigheten.se/utlysningar/stod-for-forskning-for-negativa-utslapp/,https://www2.fundsforngos.org/research/funding-and-support-for-negative-emissions-research-projects-in-sweden/,https://www2.fundsforngos.org/tag/lebanon/
Paired Early Career Fellowship in Applied Research (India and Germany),"Deadline: 31-Mar-2026 The Paired Early Career Fellowship in Applied Research (PECFAR), offered by the Indo-German Science and Technology Centre, supports early career researchers from India and Germany in collaborative STEM research. Fellows engage in short-term research visits, expand professional networks, and gain financial support for travel and living expenses. This initiative fosters cross-border innovation, institutional",IGSTC,for PECFAR?,31-Mar-2026,view grant link,https://www.igstc.org/home/pecfar_current_call,https://www2.fundsforngos.org/research/paired-early-career-fellowship-in-applied-research-india-and-germany/,https://www2.fundsforngos.org/tag/lebanon/
Post-Doctoral Study Grants for Early-Career Researchers,"Deadline: 31-Mar-2026 he Post-Doctoral Study Grants provide up to €45,000 per year for researchers to advance their careers through focused post-doctoral projects. Funding supports researchers in fields such as Ethology, Paleontology, Archaeology, Anthropology, Psychology, Epistemology, Logic, and Neuroscience, either in France or abroad. What Are the Post-Doctoral Study Grants? The Post-Doctoral Study Grants offer financial",Fyssen Foundation,for the Post-Doctoral Study Grants?,31-Mar-2026,view grant link,https://www.fondationfyssen.fr/en/our-actions/study-grants/,https://www2.fundsforngos.org/research/post-doctoral-study-grants-for-early-career-researchers/,https://www2.fundsforngos.org/tag/lebanon/
Pre-Doctoral and Post-Doctoral Fellowship Grant Program,"Deadline: 08-Jun-2026 The Pre-Doctoral and Post-Doctoral Fellowship Grant Program provides up to $300,000 over three years to support researchers focused on DIPG (Diffuse Intrinsic Pontine Glioma). Fellowships fund research time, foster mentorship, and encourage publication and data sharing to advance understanding, treatment, and potential cures for this rare pediatric brain cancer. What is the Fellowship",ChadTough Defeat DIPG Foundation,"Awards are made to the institution or lab, not directly to the fellow.",08-Jun-2026,view grant link,https://chadtough.org/research/grant-application/,https://www2.fundsforngos.org/research/pre-doctoral-and-post-doctoral-fellowship-grant-program/,https://www2.fundsforngos.org/tag/lebanon/
Apply Now: Gender Equality in HIV Policies and Programming Course,"Deadline: 31-Dec-2026 The Integrating Gender Equality in HIV Policies and Programming Course is a global learning programme designed to strengthen HIV responses by promoting gender equality and women’s empowerment. It provides practical tools to integrate gender into HIV policies, programmes, and interventions. The course is open worldwide and targets government, civil society, and health sector",UN Women,anyone globally,31-Dec-2026,view grant link,https://portal.trainingcentre.unwomen.org/product/gender-equality-in-hiv-policy-and-programming/,https://www2.fundsforngos.org/women-gender/apply-now-gender-equality-in-hiv-policies-and-programming-course/,https://www2.fundsforngos.org/tag/lebanon/
RFAs: Black Women Photographers x Nikon Grant Program,"Deadline: 22-Mar-2026 The Black Women Photographers x Nikon Grant Program provides quarterly grants to Black women photographers, combining $2,500 in funding with professional Nikon camera equipment to support creative development. Each quarter, one photographer receives financial assistance and a Nikon Z6III camera kit with a 24–70mm f/4 lens to help strengthen their photography practice. Overview",Black Women Photographers,Black women photographers and creators,22-Mar-2026,view grant link,https://blackwomenphotographers.com/grant-fund,https://www2.fundsforngos.org/women-gender/rfas-black-women-photographers-x-nikon-grant-program/,https://www2.fundsforngos.org/tag/lebanon/
GTF Olympiad Grants Empowering STEM Talent Worldwide,"Deadline: 15-May-2026 The GTF Olympiad Grants 2026 support organizations worldwide to identify and nurture high-potential STEM students, especially through Olympiads and competitions. Grants range from $20,000 to $50,000, funding training camps, competitions, and talent development initiatives. The programme aims to strengthen the global STEM Olympiad ecosystem and empower the next generation of innovators. What are",Global Talent Fund,Global (open worldwide),15-May-2026,view grant link,https://www.globtalent.org/gtf-olympiad-grants,https://www2.fundsforngos.org/youth-adolescents/gtf-olympiad-grants-empowering-stem-talent-worldwide/,https://www2.fundsforngos.org/tag/lebanon/
Call for Proposals: Polish Development Aid Competition 2026 (Poland),"Deadline: 09-Apr-2026 The Polish Development Aid 2026 competition, launched by the Polish Ministry of Foreign Affairs, funds international development projects focused on governance, health, education, entrepreneurship, and inequality reduction. It supports NGOs, academic institutions, and non-profits in selected countries with defined geographic priorities and exclusions. Funding ranges across regions including Ukraine, Moldova, Palestine, Lebanon, Kenya,",Minister of Foreign Affairs,for Polish Development Aid 2026?,09-Apr-2026,view grant link,https://www.gov.pl/web/dyplomacja/ogloszenie-konkursu-polska-pomoc-rozwojowa-2026,https://www2.fundsforngos.org/economic-development/call-for-proposals-polish-development-aid-competition-2026-poland/,https://www2.fundsforngos.org/category/education/
Applications open for Mediterranean Youth in Audiovisual Field,"Deadline: 18-Mar-2026 The MED-Y.C.I Programme invites 200 young people (ages 18–30) from select Mediterranean regions to participate in a fully funded learning programme focused on audiovisual storytelling, digital creativity, and civic engagement. The initiative combines workshops, peer exchange, and hands-on experiences to strengthen creative, digital, and civic skills while fostering regional collaboration. Overview of the",Interreg,to MED-Y.C.I?,18-Mar-2026,view grant link,https://www.interregnextmed.eu/medyci-launches-a-call-for-applications-for-mediterranean-young-people-in-audiovisual-field/,https://www2.fundsforngos.org/education/applications-open-for-mediterranean-youth-in-audiovisual-field/,https://www2.fundsforngos.org/category/education/
Climate-Resilient Agriculture and Emergency Response (Palestine),"Deadline: 17-Mar-2026 The World Food Programme (WFP) seeks partners to implement climate-resilient agriculture and emergency response initiatives in the West Bank. The program focuses on improving local food production, strengthening livelihoods, supporting vulnerable households, and promoting nutrition-sensitive, climate-smart agricultural practices. Overview of the Initiative WFP is launching a program to enhance agricultural resilience and emergency",UN Partner Portal,Eligible organizations must:,17-Mar-2026,view grant link,https://www.unpartnerportal.org/landing/opportunities/,https://www2.fundsforngos.org/community-development/climate-resilient-agriculture-and-emergency-response-palestine/,https://www2.fundsforngos.org/category/economic-development/
AFRISE Challenge Empowers Young Entrepreneurs to Drive African Economic Growth,"Deadline: 27-Mar-2026 The AFRISE Challenge offers African youth entrepreneurs aged 18–35 a platform to scale innovative ventures across sectors such as healthcare, agriculture, energy, education, and fintech. Participants from select African countries receive mentorship, leadership development, and access to grant and equity funding, culminating in an International Demo Day. The program also provides over $600,000",Concordia University,,27-Mar-2026,view grant link,https://hindsightventures.co/flagship-programs/afrise-challenge-2026,https://www2.fundsforngos.org/economic-development/afrise-challenge-empowers-young-entrepreneurs-to-drive-african-economic-growth/,https://www2.fundsforngos.org/category/economic-development/
Applications open for Blue Economy and Green Sustainability Initiative – Lebanon,"Deadline: 03-Apr-2026 The European Commission is inviting grant applications to boost Lebanon’s blue economy and green sustainability through economic growth, climate resilience, and environmental conservation. Funding supports projects under two lots: Lot 1 focuses on sustainable fisheries, aquaculture, and blue economy SMEs; Lot 2 targets forest restoration, wildfire prevention, and ecosystem management. Grants range from",European Commission,per Lot:,03-Apr-2026,view grant link,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/184458PROSPECTSEN?isExactMatch=true&status=31094502&order=DESC&pageNumber=1&pageSize=50&sortBy=startDate,https://www2.fundsforngos.org/economic-development/applications-open-for-blue-economy-and-green-sustainability-initiative-lebanon/,https://www2.fundsforngos.org/category/economic-development/
Call for Income Improvement and Economic Inclusion Projects (Morocco),"Deadline: 27-Feb-2026 The National Initiative for Human Development (INDH) – Phase III (2026) has launched a call for proposals in Taroudant Province, Morocco under the Income Improvement Axis. The program offers up to AED 200,000 per project, covering 90% of costs, to support cooperatives and youth or women’s economic groups that create sustainable employment and",Regional Committee for Human Development in Taroudant Province,,27-Feb-2026,view grant link,https://www.maroc.ma/ar/%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%AA%D8%AD%D8%B3%D9%8A%D9%86-%D8%A7%D9%84%D8%AF%D8%AE%D9%84-%D9%88%D8%A7%D9%84%D8%A5%D8%AF%D9%85%D8%A7%D8%AC-%D8%A7%D9%84%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%D9%8A-%D9%84%D9%84%D8%B4%D8%A8%D8%A7%D8%A8-%D8%A8%D8%AA%D8%A7%D8%B1%D9%88%D8%AF%D8%A7%D9%86%D8%AA-%D8%A7%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%86-%D8%B9%D9%86-%D9%81%D8%AA%D8%AD-%D8%A8%D8%A7%D8%A8-%D8%AA%D9%82%D8%AF%D9%8A%D9%85-%D8%B7%D9%84%D8%A8%D8%A7%D8%AA-%D8%A7%D9%82%D8%AA%D8%B1%D8%A7%D8%AD-%D9%85%D8%B4%D8%A7%D8%B1%D9%8A%D8%B9,https://www2.fundsforngos.org/economic-development/call-for-income-improvement-and-economic-inclusion-projects-morocco/,https://www2.fundsforngos.org/category/economic-development/
Fondation Nexans Call for Sustainable and Inclusive Energy Projects,"Deadline: 02-Mar-2026 The Fondation Nexans provides grants ranging from €10,000 to €40,000 to international NGOs and associations implementing renewable energy and sustainable electrification projects. The program supports access to energy for underserved communities, technical education, and environmental sustainability initiatives aligned with at least three UN Sustainable Development Goals (SDGs). Priority is given to countries where",Fondation Nexans,"are prioritized where Nexans operates, including:",02-Mar-2026,view grant link,https://fondation.nexans.com/en/Call-for-Projects.html,https://www2.fundsforngos.org/economic-development/fondation-nexans-call-for-sustainable-and-inclusive-energy-projects/,https://www2.fundsforngos.org/category/economic-development/
UNDP Launches Labour-Intensive Short-Term Employment Initiative – Lebanon,"Deadline: 16-Mar-2026 The United Nations Development Programme (UNDP) has launched a Labour-Intensive Short-Term Employment initiative in Tyre and Marjaayoun districts under the Stabilization in Southern Lebanon Project. The initiative provides immediate income support to vulnerable returnees and host communities while rehabilitating infrastructure and restoring public spaces. The intervention has a total budget of USD 190,000",UNDP,,16-Mar-2026,view grant link,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=43112,https://www2.fundsforngos.org/community-development/undp-launches-labour-intensive-short-term-employment-initiative-lebanon/,https://www2.fundsforngos.org/category/employment-labor/
DWF Foundation Grants for Community Impact,"Deadline: 30-Jun-2026 The DWF Foundation provides grants to registered charities that help individuals, groups, and communities reach their full potential. Funding supports projects in homelessness, health and wellbeing, employability, education, and environment and sustainability, with most grants under £5,000. Eligible organizations must operate in countries where DWF has a presence, including the UK, US, Canada,",DWF Foundation,"Australia, Canada, France, Germany, India, Ireland, Italy, Poland, Qatar, Spain,",30-Jun-2026,view grant link,https://dwfgroup.com/en/about-us/dwf-foundation,https://www2.fundsforngos.org/environment/dwf-foundation-grants-for-community-impact/,https://www2.fundsforngos.org/category/employment-labor/
Open Call: Women in Agriculture Leadership Fellowship Program,"Deadline: 26-Apr-2026 The Women in Agriculture Leadership Program Fellowship empowers African women scientists in agriculture and climate resilience through a two-year, non-residential program. Fellows receive leadership training, mentoring, technical skills development, networking opportunities, and support for gender-responsive, climate-resilient agrifood research. About the Fellowship The Women in Agriculture Leadership Program Fellowship is designed to support African",AWARD,,26-Apr-2026,view grant link,https://awardfellowships.org/news/call-to-apply-for-the-women-in-agriculture-leadership-program-fellowship-for-the-africa-australia-partnership-for-climate-responsive-agriculture/,https://fundsforindividuals.fundsforngos.org/fellowships/open-call-women-in-agriculture-leadership-fellowship-program/,https://fundsforindividuals.fundsforngos.org/type_of_individuals/students/
